// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated: 2025-12-20T12:39:31.824Z
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >>> 1) & 0x0F)
// -----------------------------------------------------------------------------
value,hex,bin,classes,symmetry,center,root,depth,inverse,reverse,opposite,ones,zeros,entropy,balance
// [QUADRANT 1/4] ROOT: 0x00 (UNBALANCED|ABSTRACT|TWIN|MIRROR|ROOT|RESERVED)
0,0x00,00000000,UNBALANCED|ABSTRACT|TWIN|MIRROR|ROOT|RESERVED,UNBALANCED_ROOT,0,0,0,255,0,0,0,8,0,0
1,0x01,00000001,UNBALANCED|DOMAIN|RESERVED,UNBALANCED_EDGE,0,0,1,254,128,16,1,7,0.54356444,0.125
2,0x02,00000010,UNBALANCED|SECTION|RESERVED,UNBALANCED_EDGE,1,0,2,253,64,32,1,7,0.54356444,0.125
4,0x04,00000100,UNBALANCED|LEAF,UNBALANCED_EDGE,2,0,3,251,32,64,1,7,0.54356444,0.125
5,0x05,00000101,UNBALANCED|LEAF,UNBALANCED_OTHER,2,0,3,250,160,80,2,6,0.81127812,0.25
132,0x84,10000100,UNBALANCED|LEAF,UNBALANCED_OTHER,2,0,3,123,33,72,2,6,0.81127812,0.25
133,0x85,10000101,UNBALANCED|LEAF,UNBALANCED_OTHER,2,0,3,122,161,88,3,5,0.954434,0.375
3,0x03,00000011,UNBALANCED|SECTION|RESERVED,UNBALANCED_OTHER,1,0,2,252,192,48,2,6,0.81127812,0.25
6,0x06,00000110,UNBALANCED|LEAF,UNBALANCED_OTHER,3,0,3,249,96,96,2,6,0.81127812,0.25
7,0x07,00000111,UNBALANCED|LEAF,UNBALANCED_OTHER,3,0,3,248,224,112,3,5,0.954434,0.375
134,0x86,10000110,UNBALANCED|LEAF,UNBALANCED_OTHER,3,0,3,121,97,104,3,5,0.954434,0.375
135,0x87,10000111,BALANCED|SHADOW|LEAF,BALANCED_SHADOW,3,0,3,120,225,120,4,4,1,0.5
130,0x82,10000010,UNBALANCED|SECTION,UNBALANCED_OTHER,1,0,2,125,65,40,2,6,0.81127812,0.25
68,0x44,01000100,UNBALANCED|TWIN|LEAF,UNBALANCED_TWIN,130,0,3,187,34,68,2,6,0.81127812,0.25
69,0x45,01000101,UNBALANCED|LEAF,UNBALANCED_OTHER,130,0,3,186,162,84,3,5,0.954434,0.375
196,0xc4,11000100,UNBALANCED|LEAF,UNBALANCED_OTHER,130,0,3,59,35,76,3,5,0.954434,0.375
197,0xc5,11000101,BALANCED|LEAF,BALANCED_EDGE,130,0,3,58,163,92,4,4,1,0.5
