// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated by: docs/ontology-claim.js (deterministic, no timestamp)
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >> 1) & 0x0F)
// -----------------------------------------------------------------------------
hex,classes,hierarchy,symmetry,inverse,opposite,reverse,parent,depth,distance,ones,entropy,bin,value
// [QUADRANT 1/4] ROOT: 0x00 (RESERVED|INIT|TWIN|MIRROR)
0x00,RESERVED|INIT|TWIN|MIRROR,ABSTRACT|ROOT,UNBALANCED|ABSOLUTE,0xFF,0x00,0x00,0x00,0,0,0,0,00000000,0
// Domain 1.1:
0x01,RESERVED|INIT,DOMAIN,UNBALANCED|IMPULSE,0xFE,0x10,0x80,0x00,1,1,1,0.54356444,00000001,1
// Section 1.1.1:
0x02,RESERVED|INIT,SECTION,UNBALANCED|IMPULSE,0xFD,0x20,0x40,0x01,2,1,1,0.54356444,00000010,2
0x04,INIT,LEAF,UNBALANCED|IMPULSE,0xFB,0x40,0x20,0x02,3,1,1,0.54356444,00000100,4
0x05,INIT,LEAF,UNBALANCED|ASYMMETRY,0xFA,0x50,0xA0,0x02,3,2,2,0.81127812,00000101,5
0x84,INIT,LEAF,UNBALANCED|ASYMMETRY,0x7B,0x48,0x21,0x02,3,2,2,0.81127812,10000100,132
0x85,INIT,LEAF,UNBALANCED|ASYMMETRY,0x7A,0x58,0xA1,0x02,3,3,3,0.954434,10000101,133
// Section 1.1.2:
0x03,RESERVED|INIT,SECTION,UNBALANCED|ASYMMETRY,0xFC,0x30,0xC0,0x01,2,2,2,0.81127812,00000011,3
0x06,INIT,LEAF,UNBALANCED|ASYMMETRY,0xF9,0x60,0x60,0x03,3,2,2,0.81127812,00000110,6
0x07,INIT,LEAF,UNBALANCED|ASYMMETRY,0xF8,0x70,0xE0,0x03,3,3,3,0.954434,00000111,7
0x86,INIT,LEAF,UNBALANCED|ASYMMETRY,0x79,0x68,0x61,0x03,3,3,3,0.954434,10000110,134
0x87,INIT|SHADOW,LEAF,BALANCED|ANTICODE,0x78,0x78,0xE1,0x03,3,4,4,1,10000111,135
// Section 1.1.3:
0x82,INIT,SECTION,UNBALANCED|ASYMMETRY,0x7D,0x28,0x41,0x01,2,2,2,0.81127812,10000010,130
0x44,INIT|TWIN,LEAF,UNBALANCED|REPEATER,0xBB,0x44,0x22,0x82,3,2,2,0.81127812,01000100,68
0x45,INIT,LEAF,UNBALANCED|ASYMMETRY,0xBA,0x54,0xA2,0x82,3,3,3,0.954434,01000101,69
0xC4,INIT,LEAF,UNBALANCED|ASYMMETRY,0x3B,0x4C,0x23,0x82,3,3,3,0.954434,11000100,196
0xC5,INIT,LEAF,BALANCED|MARGIN,0x3A,0x5C,0xA3,0x82,3,4,4,1,11000101,197
// Section 1.1.4:
0x83,INIT,SECTION,UNBALANCED|ASYMMETRY,0x7C,0x38,0xC1,0x01,2,3,3,0.954434,10000011,131
0x46,INIT,LEAF,UNBALANCED|ASYMMETRY,0xB9,0x64,0x62,0x83,3,3,3,0.954434,01000110,70
0x47,INIT,LEAF,BALANCED|MARGIN,0xB8,0x74,0xE2,0x83,3,4,4,1,01000111,71
0xC6,INIT,LEAF,BALANCED|MARGIN,0x39,0x6C,0x63,0x83,3,4,4,1,11000110,198
0xC7,INIT,LEAF,UNBALANCED|ASYMMETRY,0x38,0x7C,0xE3,0x83,3,5,5,0.954434,11000111,199
// Domain 1.2:
0x80,INIT,DOMAIN,UNBALANCED|IMPULSE,0x7F,0x08,0x01,0x00,1,1,1,0.54356444,10000000,128
// Section 1.2.1:
0x40,INIT,SECTION,UNBALANCED|IMPULSE,0xBF,0x04,0x02,0x80,2,1,1,0.54356444,01000000,64
0x20,INIT,LEAF,UNBALANCED|IMPULSE,0xDF,0x02,0x04,0x40,3,1,1,0.54356444,00100000,32
0x21,INIT,LEAF,UNBALANCED|ASYMMETRY,0xDE,0x12,0x84,0x40,3,2,2,0.81127812,00100001,33
0xA0,INIT,LEAF,UNBALANCED|ASYMMETRY,0x5F,0x0A,0x05,0x40,3,2,2,0.81127812,10100000,160
0xA1,INIT,LEAF,UNBALANCED|ASYMMETRY,0x5E,0x1A,0x85,0x40,3,3,3,0.954434,10100001,161
// Section 1.2.2:
0x41,INIT,SECTION,UNBALANCED|ASYMMETRY,0xBE,0x14,0x82,0x80,2,2,2,0.81127812,01000001,65
0x22,INIT|TWIN,LEAF,UNBALANCED|REPEATER,0xDD,0x22,0x44,0x41,3,2,2,0.81127812,00100010,34
0x23,INIT,LEAF,UNBALANCED|ASYMMETRY,0xDC,0x32,0xC4,0x41,3,3,3,0.954434,00100011,35
0xA2,INIT,LEAF,UNBALANCED|ASYMMETRY,0x5D,0x2A,0x45,0x41,3,3,3,0.954434,10100010,162
